trade_id,code,status,source,rows,path,error
T021,63,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T021_000063.csv,
T022,600707,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T022_600707.csv,
T023,2402,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T023_002402.csv,
T024,603698,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T024_603698.csv,
T025,600184,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T025_600184.csv,
T026,600875,ok,akshare_tx,12,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T026_600875.csv,
T027,825,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T027_000825.csv,
T028,600198,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T028_600198.csv,
T029,600501,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T029_600501.csv,
T030,2151,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T030_002151.csv,
T031,2378,ok,akshare_tx,16,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T031_002378.csv,
T032,2429,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T032_002429.csv,
T033,2583,ok,akshare_tx,15,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T033_002583.csv,
T034,600362,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T034_600362.csv,
T035,603009,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T035_603009.csv,
T036,600363,ok,akshare_tx,6,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T036_600363.csv,
T037,601512,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T037_601512.csv,
T038,2945,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T038_002945.csv,
T039,2366,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T039_002366.csv,
T040,600549,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T040_600549.csv,
T041,601858,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T041_601858.csv,
T042,600089,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T042_600089.csv,
T043,2004,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T043_002004.csv,
T044,2049,ok,akshare_tx,13,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T044_002049.csv,
T045,2426,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T045_002426.csv,
T046,601117,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T046_601117.csv,
T047,2185,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T047_002185.csv,
T048,601012,ok,akshare_tx,3,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T048_601012.csv,
T049,600602,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T049_600602.csv,
T050,600961,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T050_600961.csv,
T051,600339,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T051_600339.csv,
T052,601699,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T052_601699.csv,
T053,600185,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T053_600185.csv,
T054,2292,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T054_002292.csv,
T055,600583,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T055_600583.csv,
T056,601808,ok,akshare_tx,5,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T056_601808.csv,
T057,661,ok,akshare_tx,6,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T057_000661.csv,
T058,2463,ok,akshare_tx,6,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T058_002463.csv,
T059,2167,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T059_002167.csv,
T060,3009,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T060_003009.csv,
T061,600803,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T061_600803.csv,
T062,605196,ok,akshare_tx,13,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T062_605196.csv,
T063,2456,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T063_002456.csv,
T064,2648,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T064_002648.csv,
T065,601969,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T065_601969.csv,
T066,2831,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T066_002831.csv,
T067,601991,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T067_601991.csv,
T068,601669,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T068_601669.csv,
T069,600996,ok,akshare_tx,14,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T069_600996.csv,
T070,2896,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T070_002896.csv,
T071,2222,ok,akshare_tx,13,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T071_002222.csv,
T072,002475,ok,akshare_tx,12,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T072_002475.csv,
